,Code,Country,Year,Migration Type,Total Migration,Gender,Country 1,Country 1 Count,Country 2,Country 2 Count,Country 3,Country 3 Count,Country 4,Country 4 Count,Country 5,Country 5 Count
0,192,Cuba,1990,Emigration,399117,female,United States of America,351002,Puerto Rico,9510,Spain,9264,Venezuela (Bolivarian Republic of),5874,Dominican Republic,3900
0,192,Cuba,1990,Emigration,436429,male,United States of America,385969,Spain,12590,Puerto Rico,10069,Venezuela (Bolivarian Republic of),5685,Dominican Republic,2924
0,192,Cuba,1990,Emigration,835546,total,United States of America,736971,Spain,21854,Puerto Rico,19579,Venezuela (Bolivarian Republic of),11559,Dominican Republic,6824
0,192,Cuba,1990,Immigration,17278,female,Spain,5394,Russian Federation,1728,Haiti,1478,United States of America,577,China,507
0,192,Cuba,1990,Immigration,17277,male,Spain,5309,Russian Federation,2763,Ukraine,907,United States of America,609,Haiti,585
0,192,Cuba,1990,Immigration,34555,total,Spain,10703,Russian Federation,4491,Haiti,2063,Ukraine,1367,United States of America,1186
0,192,Cuba,1995,Emigration,446062,female,United States of America,389993,Spain,12258,Puerto Rico,9266,Venezuela (Bolivarian Republic of),5466,Dominican Republic,4253
0,192,Cuba,1995,Emigration,489315,male,United States of America,425624,Spain,16056,Puerto Rico,10027,Italy,5642,Venezuela (Bolivarian Republic of),5137
0,192,Cuba,1995,Emigration,935377,total,United States of America,815617,Spain,28314,Puerto Rico,19293,Venezuela (Bolivarian Republic of),10603,Dominican Republic,7580
0,192,Cuba,1995,Immigration,12559,female,Spain,3922,Russian Federation,1223,Haiti,1102,United States of America,418,China,380
0,192,Cuba,1995,Immigration,13628,male,Spain,4190,Russian Federation,2181,Ukraine,716,United States of America,481,Haiti,462
0,192,Cuba,1995,Immigration,26187,total,Spain,8112,Russian Federation,3404,Haiti,1564,Ukraine,1036,United States of America,899
0,192,Cuba,2000,Emigration,500437,female,United States of America,429838,Spain,20270,Puerto Rico,9042,Venezuela (Bolivarian Republic of),5191,Dominican Republic,4606
0,192,Cuba,2000,Emigration,549465,male,United States of America,465038,Spain,25468,Italy,10341,Puerto Rico,10012,Venezuela (Bolivarian Republic of),4737
0,192,Cuba,2000,Emigration,1049902,total,United States of America,894876,Spain,45738,Puerto Rico,19054,Italy,11659,Venezuela (Bolivarian Republic of),9928
0,192,Cuba,2000,Immigration,7840,female,Spain,2450,Haiti,726,Russian Federation,719,United States of America,260,China,252
0,192,Cuba,2000,Immigration,9978,male,Spain,3071,Russian Federation,1598,Ukraine,525,United States of America,352,Haiti,339
0,192,Cuba,2000,Immigration,17818,total,Spain,5521,Russian Federation,2317,Haiti,1065,Ukraine,705,United States of America,612
0,192,Cuba,2005,Emigration,553567,female,United States of America,463625,Spain,32087,Puerto Rico,8077,Venezuela (Bolivarian Republic of),5346,Italy,4677
0,192,Cuba,2005,Emigration,607085,male,United States of America,495855,Spain,39527,Italy,17884,Puerto Rico,8962,Germany,5448
0,192,Cuba,2005,Emigration,1160652,total,United States of America,959480,Spain,71614,Italy,22561,Puerto Rico,17039,Venezuela (Bolivarian Republic of),10372
0,192,Cuba,2005,Immigration,7540,female,Spain,2459,Russian Federation,726,Haiti,726,United States of America,260,China,251
0,192,Cuba,2005,Immigration,9483,male,Spain,3040,Russian Federation,1582,Ukraine,519,United States of America,349,Haiti,335
0,192,Cuba,2005,Immigration,17023,total,Spain,5499,Russian Federation,2308,Haiti,1061,Ukraine,702,United States of America,609
0,192,Cuba,2010,Emigration,616208,female,United States of America,502388,Spain,46653,Italy,8036,Canada,6664,Mexico,6050
0,192,Cuba,2010,Emigration,694659,male,United States of America,552841,Spain,56536,Italy,25427,Puerto Rico,6843,Germany,6695
0,192,Cuba,2010,Emigration,1310867,total,United States of America,1055229,Spain,103189,Italy,33463,Canada,13340,Puerto Rico,12882
0,192,Cuba,2010,Immigration,6611,female,Spain,2266,Russian Federation,672,Haiti,665,United States of America,239,China,230
0,192,Cuba,2010,Immigration,8207,male,Spain,2758,Russian Federation,1436,Ukraine,471,United States of America,317,Haiti,304
0,192,Cuba,2010,Immigration,14818,total,Spain,5024,Russian Federation,2108,Haiti,969,Ukraine,641,United States of America,556
0,192,Cuba,2015,Emigration,705292,female,United States of America,570831,Spain,58864,Mexico,9562,Italy,7583,Canada,7453
0,192,Cuba,2015,Emigration,806002,male,United States of America,640042,Spain,72270,Italy,25886,Mexico,8091,Canada,7465
0,192,Cuba,2015,Emigration,1511294,total,United States of America,1210873,Spain,131134,Italy,33469,Mexico,17653,Canada,14918
0,192,Cuba,2015,Immigration,5950,female,Spain,2040,Russian Federation,605,Haiti,598,United States of America,215,China,207
0,192,Cuba,2015,Immigration,7386,male,Spain,2482,Russian Federation,1292,Ukraine,424,United States of America,285,Haiti,274
0,192,Cuba,2015,Immigration,13336,total,Spain,4522,Russian Federation,1897,Haiti,872,Ukraine,577,United States of America,500
0,192,Cuba,2017,Emigration,727012,female,United States of America,589765,Spain,58961,Mexico,9810,Italy,7779,Canada,7748
0,192,Cuba,2017,Emigration,831300,male,United States of America,661272,Spain,73417,Italy,26278,Mexico,8301,Germany,8243
0,192,Cuba,2017,Emigration,1558312,total,United States of America,1251037,Spain,132378,Italy,34057,Mexico,18111,Canada,15509
0,192,Cuba,2017,Immigration,5861,female,Spain,2010,Russian Federation,596,Haiti,589,United States of America,212,China,204
0,192,Cuba,2017,Immigration,7275,male,Spain,2444,Russian Federation,1272,Ukraine,417,United States of America,280,Haiti,269
0,192,Cuba,2017,Immigration,13136,total,Spain,4454,Russian Federation,1868,Haiti,858,Ukraine,568,United States of America,492
0,222,El Salvador,1990,Emigration,608502,female,United States of America,236909,Mexico,150796,Guatemala,104058,Honduras,55397,Costa Rica,27798
0,222,El Salvador,1990,Emigration,633375,male,United States of America,228524,Mexico,150310,Guatemala,132597,Honduras,59413,Costa Rica,28459
0,222,El Salvador,1990,Emigration,1241877,total,United States of America,465433,Mexico,301106,Guatemala,236655,Honduras,114810,Costa Rica,56257
0,222,El Salvador,1990,Immigration,22218,female,Honduras,6905,United States of America,4032,Guatemala,3739,Nicaragua,1772,Mexico,1095
0,222,El Salvador,1990,Immigration,25142,male,Honduras,8869,Guatemala,4496,United States of America,4001,Nicaragua,2121,Mexico,1362
0,222,El Salvador,1990,Immigration,47360,total,Honduras,15774,Guatemala,8235,United States of America,8033,Nicaragua,3893,Mexico,2457
0,222,El Salvador,1995,Emigration,463035,female,United States of America,332169,Guatemala,54107,Honduras,29173,Canada,15783,Costa Rica,12961
0,222,El Salvador,1995,Emigration,470090,male,United States of America,317801,Guatemala,70239,Honduras,31519,Canada,16815,Costa Rica,13085
0,222,El Salvador,1995,Emigration,933125,total,United States of America,649970,Guatemala,124346,Honduras,60692,Canada,32598,Costa Rica,26046
0,222,El Salvador,1995,Immigration,18564,female,Honduras,5450,Guatemala,3298,United States of America,3160,Nicaragua,2043,Mexico,871
0,222,El Salvador,1995,Immigration,20973,male,Honduras,7200,Guatemala,3926,United States of America,3146,Nicaragua,2176,Mexico,1077
0,222,El Salvador,1995,Immigration,39537,total,Honduras,12650,Guatemala,7224,United States of America,6306,Nicaragua,4219,Mexico,1948
0,222,El Salvador,2000,Emigration,480225,female,United States of America,429782,Canada,18730,Australia,5200,Guatemala,4156,Costa Rica,4065
0,222,El Salvador,2000,Emigration,468866,male,United States of America,408308,Canada,20096,Guatemala,7881,Australia,5490,Costa Rica,4792
0,222,El Salvador,2000,Emigration,949091,total,United States of America,838090,Canada,38826,Guatemala,12037,Australia,10690,Costa Rica,8857
0,222,El Salvador,2000,Immigration,14909,female,Honduras,3994,Guatemala,2857,Nicaragua,2315,United States of America,2282,Mexico,647
0,222,El Salvador,2000,Immigration,16804,male,Honduras,5531,Guatemala,3355,United States of America,2321,Nicaragua,2230,Mexico,791
0,222,El Salvador,2000,Immigration,31713,total,Honduras,9525,Guatemala,6212,United States of America,4603,Nicaragua,4545,Mexico,1438
0,222,El Salvador,2005,Emigration,568462,female,United States of America,514399,Canada,19738,Australia,5240,Guatemala,3877,Belize,3638
0,222,El Salvador,2005,Emigration,550438,male,United States of America,483459,Canada,20232,Guatemala,10487,Italy,6020,Australia,5520
0,222,El Salvador,2005,Emigration,1118900,total,United States of America,997858,Canada,39970,Guatemala,14364,Australia,10760,Italy,8882
0,222,El Salvador,2005,Immigration,17029,female,Honduras,4283,Guatemala,3417,Nicaragua,3142,United States of America,2416,Mexico,700
0,222,El Salvador,2005,Immigration,18990,male,Honduras,6079,Guatemala,3950,Nicaragua,2882,United States of America,2455,Mexico,841
0,222,El Salvador,2005,Immigration,36019,total,Honduras,10362,Guatemala,7367,Nicaragua,6024,United States of America,4871,Mexico,1541
0,222,El Salvador,2010,Emigration,670534,female,United States of America,606751,Canada,22058,Costa Rica,6112,Australia,5370,Italy,4256
0,222,El Salvador,2010,Emigration,667169,male,United States of America,585672,Canada,21597,Guatemala,13092,Italy,8206,Costa Rica,7576
0,222,El Salvador,2010,Emigration,1337703,total,United States of America,1192423,Canada,43655,Guatemala,16691,Costa Rica,13688,Italy,12462
0,222,El Salvador,2010,Immigration,19148,female,Honduras,4571,Guatemala,3977,Nicaragua,3969,United States of America,2562,Mexico,753
0,222,El Salvador,2010,Immigration,21176,male,Honduras,6627,Guatemala,4544,Nicaragua,3533,United States of America,2614,Mexico,891
0,222,El Salvador,2010,Immigration,40324,total,Honduras,11198,Guatemala,8521,Nicaragua,7502,United States of America,5176,Mexico,1644
0,222,El Salvador,2015,Emigration,750735,female,United States of America,679986,Canada,24668,Costa Rica,6160,Australia,5662,Mexico,4792
0,222,El Salvador,2015,Emigration,758941,male,United States of America,667966,Canada,24152,Guatemala,14845,Italy,8354,Costa Rica,7740
0,222,El Salvador,2015,Emigration,1509676,total,United States of America,1347952,Canada,48820,Guatemala,19198,Costa Rica,13900,Italy,12464
0,222,El Salvador,2015,Immigration,19996,female,Honduras,4775,Guatemala,4153,Nicaragua,4144,United States of America,2676,Mexico,786
0,222,El Salvador,2015,Immigration,22049,male,Honduras,6901,Guatemala,4732,Nicaragua,3679,United States of America,2721,Mexico,928
0,222,El Salvador,2015,Immigration,42045,total,Honduras,11676,Guatemala,8885,Nicaragua,7823,United States of America,5397,Mexico,1714
0,222,El Salvador,2017,Emigration,775734,female,United States of America,702541,Canada,25646,Costa Rica,6197,Australia,5911,Belize,5089
0,222,El Salvador,2017,Emigration,784190,male,United States of America,690122,Canada,25110,Guatemala,15446,Italy,8480,Costa Rica,7787
0,222,El Salvador,2017,Emigration,1559924,total,United States of America,1392663,Canada,50756,Guatemala,19976,Costa Rica,13984,Italy,12683
0,222,El Salvador,2017,Immigration,20129,female,Honduras,4807,Guatemala,4180,Nicaragua,4171,United States of America,2694,Mexico,791
0,222,El Salvador,2017,Immigration,22194,male,Honduras,6946,Guatemala,4763,Nicaragua,3703,United States of America,2738,Mexico,934
0,222,El Salvador,2017,Immigration,42323,total,Honduras,11753,Guatemala,8943,Nicaragua,7874,United States of America,5432,Mexico,1725
0,320,Guatemala,1990,Emigration,173120,female,United States of America,113994,Mexico,36574,Belize,6504,Canada,4167,El Salvador,3739
0,320,Guatemala,1990,Emigration,170503,male,United States of America,111745,Mexico,35769,Belize,6146,El Salvador,4496,Canada,4392
0,320,Guatemala,1990,Emigration,343623,total,United States of America,225739,Mexico,72343,Belize,12650,Canada,8559,El Salvador,8235
0,320,Guatemala,1990,Immigration,112615,female,El Salvador,104058,United States of America,2013,Mexico,1558,Nicaragua,1101,Honduras,990
0,320,Guatemala,1990,Immigration,151642,male,El Salvador,132597,Mexico,3844,United States of America,3809,Honduras,3778,Nicaragua,2625
0,320,Guatemala,1990,Immigration,264257,total,El Salvador,236655,United States of America,5822,Mexico,5402,Honduras,4768,Nicaragua,3726
0,320,Guatemala,1995,Emigration,232137,female,United States of America,181531,Mexico,26336,Belize,7178,Canada,5386,El Salvador,3298
0,320,Guatemala,1995,Emigration,225245,male,United States of America,176398,Mexico,23340,Belize,7172,Canada,5741,El Salvador,3926
0,320,Guatemala,1995,Emigration,457382,total,United States of America,357929,Mexico,49676,Belize,14350,Canada,11127,El Salvador,7224
0,320,Guatemala,1995,Immigration,66913,female,El Salvador,54107,Mexico,3466,United States of America,2334,Nicaragua,1783,Honduras,1492
0,320,Guatemala,1995,Immigration,89275,male,El Salvador,70239,Mexico,4770,Honduras,3540,United States of America,3305,Nicaragua,2782
0,320,Guatemala,1995,Immigration,156188,total,El Salvador,124346,Mexico,8236,United States of America,5639,Honduras,5032,Nicaragua,4565
0,320,Guatemala,2000,Emigration,295290,female,United States of America,250780,Mexico,17372,Belize,7853,Canada,6734,El Salvador,2857
0,320,Guatemala,2000,Emigration,283213,male,United States of America,242090,Mexico,11784,Belize,8205,Canada,7226,El Salvador,3355
0,320,Guatemala,2000,Emigration,578503,total,United States of America,492870,Mexico,29156,Belize,16058,Canada,13960,El Salvador,6212
0,320,Guatemala,2000,Immigration,21211,female,Mexico,5374,El Salvador,4156,United States of America,2656,Nicaragua,2465,Honduras,1993
0,320,Guatemala,2000,Immigration,26908,male,El Salvador,7881,Mexico,5696,Honduras,3302,Nicaragua,2939,United States of America,2800
0,320,Guatemala,2000,Immigration,48119,total,El Salvador,12037,Mexico,11070,United States of America,5456,Nicaragua,5404,Honduras,5295
0,320,Guatemala,2005,Emigration,375187,female,United States of America,329093,Mexico,15299,Belize,8763,Canada,7168,El Salvador,3417
0,320,Guatemala,2005,Emigration,361344,male,United States of America,314256,Mexico,14023,Belize,9259,Canada,7233,El Salvador,3950
0,320,Guatemala,2005,Emigration,736531,total,United States of America,643349,Mexico,29322,Belize,18022,Canada,14401,El Salvador,7367
0,320,Guatemala,2005,Immigration,26064,female,Mexico,7133,El Salvador,3877,United States of America,3393,Nicaragua,3203,Honduras,2636
0,320,Guatemala,2005,Immigration,31188,male,El Salvador,10487,Mexico,6027,Honduras,3658,Nicaragua,3221,United States of America,3080
0,320,Guatemala,2005,Immigration,57252,total,El Salvador,14364,Mexico,13160,United States of America,6473,Nicaragua,6424,Honduras,6294
0,320,Guatemala,2010,Emigration,463389,female,United States of America,412680,Mexico,15022,Belize,9678,Canada,7838,El Salvador,3977
0,320,Guatemala,2010,Emigration,461136,male,United States of America,404815,Mexico,17866,Belize,10317,Canada,7447,El Salvador,4544
0,320,Guatemala,2010,Emigration,924525,total,United States of America,817495,Mexico,32888,Belize,19995,Canada,15285,El Salvador,8521
0,320,Guatemala,2010,Immigration,30917,female,Mexico,8892,United States of America,4124,Nicaragua,3941,El Salvador,3599,Honduras,3279
0,320,Guatemala,2010,Immigration,35467,male,El Salvador,13092,Mexico,6358,Honduras,4013,Nicaragua,3502,United States of America,3390
0,320,Guatemala,2010,Immigration,66384,total,El Salvador,16691,Mexico,15250,United States of America,7514,Nicaragua,7443,Honduras,7292
0,320,Guatemala,2015,Emigration,537444,female,United States of America,472466,Mexico,25042,Belize,11172,Canada,8765,El Salvador,4153
0,320,Guatemala,2015,Emigration,543276,male,United States of America,471720,Mexico,28086,Belize,12059,Canada,8328,El Salvador,4732
0,320,Guatemala,2015,Emigration,1080720,total,United States of America,944186,Mexico,53128,Belize,23231,Canada,17093,El Salvador,8885
0,320,Guatemala,2015,Immigration,37136,female,Mexico,10330,United States of America,4799,Nicaragua,4590,El Salvador,4353,Honduras,3837
0,320,Guatemala,2015,Immigration,41216,male,El Salvador,14845,Mexico,7210,Honduras,4550,Nicaragua,3971,United States of America,3844
0,320,Guatemala,2015,Immigration,78352,total,El Salvador,19198,Mexico,17540,United States of America,8643,Nicaragua,8561,Honduras,8387
0,320,Guatemala,2017,Emigration,555667,female,United States of America,488138,Mexico,25692,Belize,12260,Canada,9113,El Salvador,4180
0,320,Guatemala,2017,Emigration,561688,male,United States of America,487366,Mexico,28816,Belize,13233,Canada,8658,El Salvador,4763
0,320,Guatemala,2017,Emigration,1117355,total,United States of America,975504,Mexico,54508,Belize,25493,Canada,17771,El Salvador,8943
0,320,Guatemala,2017,Immigration,38642,female,Mexico,10748,United States of America,4994,Nicaragua,4777,El Salvador,4530,Honduras,3992
0,320,Guatemala,2017,Immigration,42886,male,El Salvador,15446,Mexico,7502,Honduras,4734,Nicaragua,4131,United States of America,3999
0,320,Guatemala,2017,Immigration,81528,total,El Salvador,19976,Mexico,18250,United States of America,8993,Nicaragua,8908,Honduras,8726
0,340,Honduras,1990,Emigration,66894,female,United States of America,46067,El Salvador,6905,Nicaragua,4953,Belize,1521,Costa Rica,1156
0,340,Honduras,1990,Emigration,89659,male,United States of America,62856,El Salvador,8869,Nicaragua,5152,Guatemala,3778,Costa Rica,1452
0,340,Honduras,1990,Emigration,156553,total,United States of America,108923,El Salvador,15774,Nicaragua,10105,Guatemala,4768,Belize,2764
0,340,Honduras,1990,Immigration,137573,female,Nicaragua,74798,El Salvador,55397,Guatemala,1713,United States of America,1535,Mexico,409
0,340,Honduras,1990,Immigration,132850,male,Nicaragua,68004,El Salvador,59413,Guatemala,1537,United States of America,1157,Mexico,386
0,340,Honduras,1990,Immigration,270423,total,Nicaragua,142802,El Salvador,114810,Guatemala,3250,United States of America,2692,Mexico,795
0,340,Honduras,1995,Emigration,106437,female,United States of America,85305,El Salvador,5450,Nicaragua,4607,Belize,2140,Canada,1593
0,340,Honduras,1995,Emigration,140389,male,United States of America,113204,El Salvador,7200,Nicaragua,4866,Guatemala,3540,Belize,1960
0,340,Honduras,1995,Emigration,246826,total,United States of America,198509,El Salvador,12650,Nicaragua,9473,Guatemala,5032,Belize,4100
0,340,Honduras,1995,Immigration,76077,female,Nicaragua,38819,El Salvador,29173,United States of America,2140,Guatemala,1705,Mexico,486
0,340,Honduras,1995,Immigration,73365,male,Nicaragua,35454,El Salvador,31519,United States of America,1737,Guatemala,1631,Mexico,494
0,340,Honduras,1995,Immigration,149442,total,Nicaragua,74273,El Salvador,60692,United States of America,3877,Guatemala,3336,Mexico,980
0,340,Honduras,2000,Emigration,148443,female,United States of America,125606,Nicaragua,4840,El Salvador,3994,Belize,2760,Canada,2152
0,340,Honduras,2000,Emigration,193816,male,United States of America,164428,El Salvador,5531,Nicaragua,5177,Guatemala,3302,Belize,2676
0,340,Honduras,2000,Emigration,342259,total,United States of America,290034,Nicaragua,10017,El Salvador,9525,Belize,5436,Guatemala,5295
0,340,Honduras,2000,Immigration,14581,female,El Salvador,2949,Nicaragua,2841,United States of America,2744,Guatemala,1697,Mexico,562
0,340,Honduras,2000,Immigration,13880,male,El Salvador,3625,Nicaragua,2927,United States of America,2317,Guatemala,1724,Mexico,602
0,340,Honduras,2000,Immigration,28461,total,El Salvador,6574,Nicaragua,5768,United States of America,5061,Guatemala,3421,Mexico,1164
0,340,Honduras,2005,Emigration,195866,female,United States of America,167426,Nicaragua,5189,El Salvador,4283,Belize,3219,Mexico,2968
0,340,Honduras,2005,Emigration,253236,male,United States of America,216396,El Salvador,6079,Nicaragua,5556,Spain,5006,Mexico,3734
0,340,Honduras,2005,Emigration,449102,total,United States of America,383822,Nicaragua,10745,El Salvador,10362,Spain,7820,Mexico,6702
0,340,Honduras,2005,Immigration,14444,female,El Salvador,2931,Nicaragua,2817,United States of America,2719,Guatemala,1682,Mexico,557
0,340,Honduras,2005,Immigration,13431,male,El Salvador,3508,Nicaragua,2832,United States of America,2227,Guatemala,1669,Mexico,583
0,340,Honduras,2005,Immigration,27875,total,El Salvador,6439,Nicaragua,5649,United States of America,4946,Guatemala,3351,Mexico,1140
0,340,Honduras,2010,Emigration,250021,female,United States of America,210726,Spain,8410,Nicaragua,5598,Mexico,4599,El Salvador,4571
0,340,Honduras,2010,Emigration,337641,male,United States of America,281108,Spain,18492,El Salvador,6627,Nicaragua,5936,Mexico,5381
0,340,Honduras,2010,Emigration,587662,total,United States of America,491834,Spain,26902,Nicaragua,11534,El Salvador,11198,Mexico,9980
0,340,Honduras,2010,Immigration,14306,female,El Salvador,2913,Nicaragua,2793,United States of America,2683,Guatemala,1667,Mexico,553
0,340,Honduras,2010,Immigration,12982,male,El Salvador,3390,Nicaragua,2737,United States of America,2168,Guatemala,1613,Mexico,563
0,340,Honduras,2010,Immigration,27288,total,El Salvador,6303,Nicaragua,5530,United States of America,4851,Guatemala,3280,Mexico,1116
0,340,Honduras,2015,Emigration,292832,female,United States of America,244893,Spain,10959,Mexico,7652,Nicaragua,6071,El Salvador,4775
0,340,Honduras,2015,Emigration,407242,male,United States of America,333567,Spain,30374,Mexico,7375,El Salvador,6901,Nicaragua,6368
0,340,Honduras,2015,Emigration,700074,total,United States of America,578460,Spain,41333,Mexico,15027,Nicaragua,12439,El Salvador,11676
0,340,Honduras,2015,Immigration,20116,female,El Salvador,4101,Nicaragua,3931,United States of America,3751,Guatemala,2347,Mexico,779
0,340,Honduras,2015,Immigration,18201,male,El Salvador,4752,Nicaragua,3836,United States of America,3048,Guatemala,2260,Mexico,788
0,340,Honduras,2015,Immigration,38317,total,El Salvador,8853,Nicaragua,7767,United States of America,6799,Guatemala,4607,Mexico,1567
0,340,Honduras,2017,Emigration,302173,female,United States of America,253016,Spain,10869,Mexico,7851,Nicaragua,6207,Belize,4880
0,340,Honduras,2017,Emigration,420257,male,United States of America,344631,Spain,30856,Mexico,7566,El Salvador,6946,Nicaragua,6509
0,340,Honduras,2017,Emigration,722430,total,United States of America,597647,Spain,41725,Mexico,15417,Nicaragua,12716,El Salvador,11753
0,340,Honduras,2017,Immigration,20318,female,El Salvador,4142,Nicaragua,3970,United States of America,3788,Guatemala,2371,Mexico,787
0,340,Honduras,2017,Immigration,18382,male,El Salvador,4799,Nicaragua,3874,United States of America,3078,Guatemala,2282,Mexico,795
0,340,Honduras,2017,Immigration,38700,total,El Salvador,8941,Nicaragua,7844,United States of America,6866,Guatemala,4653,Mexico,1582
0,484,Mexico,1990,Emigration,2357870,female,United States of America,2315850,Canada,9060,Bolivia (Plurinational State of),4025,Spain,3999,France,2439
0,484,Mexico,1990,Emigration,2036814,male,United States of America,1982164,Canada,9550,Spain,5650,Bolivia (Plurinational State of),4100,France,3866
0,484,Mexico,1990,Emigration,4394684,total,United States of America,4298014,Canada,18610,Spain,9649,Bolivia (Plurinational State of),8125,France,6305
0,484,Mexico,1990,Immigration,348353,female,El Salvador,150796,United States of America,97160,Guatemala,36574,Spain,13473,Panama,12956
0,484,Mexico,1990,Immigration,347321,male,El Salvador,150310,United States of America,101070,Guatemala,35769,Panama,12685,Spain,11147
0,484,Mexico,1990,Immigration,695674,total,El Salvador,301106,United States of America,198230,Guatemala,72343,Panama,25641,Spain,24620
0,484,Mexico,1995,Emigration,3746602,female,United States of America,3692951,Canada,14566,Spain,4903,Bolivia (Plurinational State of),4341,Guatemala,3466
0,484,Mexico,1995,Emigration,3201956,male,United States of America,3134994,Canada,15547,Spain,6756,Guatemala,4770,Bolivia (Plurinational State of),4429
0,484,Mexico,1995,Emigration,6948558,total,United States of America,6827945,Canada,30113,Spain,11659,Bolivia (Plurinational State of),8770,Guatemala,8236
0,484,Mexico,1995,Immigration,229589,female,United States of America,134898,Guatemala,26336,Spain,12178,Panama,6879,Italy,2730
0,484,Mexico,1995,Immigration,228960,male,United States of America,137574,Guatemala,23340,Spain,10313,Panama,6843,Colombia,2954
0,484,Mexico,1995,Immigration,458549,total,United States of America,272472,Guatemala,49676,Spain,22491,Panama,13722,Colombia,5530
0,484,Mexico,2000,Emigration,5172767,female,United States of America,5104175,Canada,20421,Spain,8137,Guatemala,5374,Bolivia (Plurinational State of),4609
0,484,Mexico,2000,Emigration,4389511,male,United States of America,4306354,Canada,21911,Spain,10549,Guatemala,5696,Bolivia (Plurinational State of),4714
0,484,Mexico,2000,Emigration,9562278,total,United States of America,9410529,Canada,42332,Spain,18686,Guatemala,11070,Bolivia (Plurinational State of),9323
0,484,Mexico,2000,Immigration,270896,female,United States of America,179268,Guatemala,17372,Spain,11468,Canada,3640,Italy,3470
0,484,Mexico,2000,Immigration,267155,male,United States of America,179131,Guatemala,11784,Spain,9866,Cuba,3822,Colombia,3632
0,484,Mexico,2000,Immigration,538051,total,United States of America,358399,Guatemala,29156,Spain,21334,Cuba,7267,Canada,7245
0,484,Mexico,2005,Emigration,5876624,female,United States of America,5782166,Canada,29641,Spain,15602,Guatemala,7133,Bolivia (Plurinational State of),4307
0,484,Mexico,2005,Emigration,4939920,male,United States of America,4828898,Canada,31545,Spain,20209,Germany,6700,Guatemala,6027
0,484,Mexico,2005,Emigration,10816544,total,United States of America,10611064,Canada,61186,Spain,35811,Guatemala,13160,Germany,10738
0,484,Mexico,2005,Immigration,359642,female,United States of America,262552,Guatemala,15299,Spain,10577,Argentina,5087,Cuba,4484
0,484,Mexico,2005,Immigration,352845,male,United States of America,257501,Guatemala,14023,Spain,9301,Colombia,5301,Argentina,4741
0,484,Mexico,2005,Immigration,712487,total,United States of America,520053,Guatemala,29322,Spain,19878,Argentina,9828,Colombia,9403
0,484,Mexico,2010,Emigration,6667264,female,United States of America,6554739,Canada,33906,Spain,19426,Guatemala,8892,Germany,5968
0,484,Mexico,2010,Emigration,5745821,male,United States of America,5613923,Canada,35789,Spain,25375,Germany,8811,France,7510
0,484,Mexico,2010,Emigration,12413085,total,United States of America,12168662,Canada,69695,Spain,44801,Guatemala,15250,Germany,14779
0,484,Mexico,2010,Immigration,490691,female,United States of America,376724,Guatemala,15022,Spain,10928,Argentina,7460,Cuba,6050
0,484,Mexico,2010,Immigration,478847,male,United States of America,365194,Guatemala,17866,Spain,9799,Colombia,7576,Argentina,6711
0,484,Mexico,2010,Immigration,969538,total,United States of America,741918,Guatemala,32888,Spain,20727,Argentina,14171,Colombia,13259
0,484,Mexico,2015,Emigration,6686352,female,United States of America,6561981,Canada,37918,Spain,20525,Guatemala,10330,Germany,6196
0,484,Mexico,2015,Emigration,5860185,male,United States of America,5713895,Canada,40023,Spain,28088,Germany,9203,France,8333
0,484,Mexico,2015,Emigration,12546537,total,United States of America,12275876,Canada,77941,Spain,48613,Guatemala,17540,Germany,15399
0,484,Mexico,2015,Immigration,604669,female,United States of America,443641,Guatemala,25042,Spain,14219,Argentina,9849,Cuba,9562
0,484,Mexico,2015,Immigration,588486,male,United States of America,432887,Guatemala,28086,Spain,12690,Colombia,10887,Argentina,8879
0,484,Mexico,2015,Immigration,1193155,total,United States of America,876528,Guatemala,53128,Spain,26909,Colombia,20135,Argentina,18728
0,484,Mexico,2017,Emigration,6909042,female,United States of America,6779642,Canada,39423,Spain,20540,Guatemala,10748,Germany,7480
0,484,Mexico,2017,Emigration,6055840,male,United States of America,5903424,Canada,41610,Spain,28534,Germany,10849,France,8337
0,484,Mexico,2017,Emigration,12964882,total,United States of America,12683066,Canada,81033,Spain,49074,Germany,18329,Guatemala,18250
0,484,Mexico,2017,Immigration,620387,female,United States of America,455173,Guatemala,25692,Spain,14589,Argentina,10105,Cuba,9810
0,484,Mexico,2017,Immigration,603782,male,United States of America,444138,Guatemala,28816,Spain,13019,Colombia,11169,Argentina,9109
0,484,Mexico,2017,Immigration,1224169,total,United States of America,899311,Guatemala,54508,Spain,27608,Colombia,20658,Argentina,19214
0,862,Venezuela (Bolivarian Republic of),1990,Emigration,83042,female,United States of America,16260,Colombia,15410,Spain,15105,Dominican Republic,7698,Portugal,7204
0,862,Venezuela (Bolivarian Republic of),1990,Emigration,102846,male,United States of America,25859,Colombia,17713,Spain,17364,Portugal,7755,Italy,6853
0,862,Venezuela (Bolivarian Republic of),1990,Emigration,185888,total,United States of America,42119,Colombia,33123,Spain,32469,Portugal,14959,Dominican Republic,14235
