,Code,Country,Year,Migration Type,Total Migration,Gender,Country 1,Country 1 Count,Country 2,Country 2 Count,Country 3,Country 3 Count,Country 4,Country 4 Count,Country 5,Country 5 Count,Migrants Under 15 years old,Migrants 20-29 years old,Migrants 30-39 years old,Migrants 40-49 years old,Migrants 50 years old and older
0,192,Cuba,1990,Emigration,399117,female,United States of America,351002,Puerto Rico,9510,Spain,9264,Venezuela (Bolivarian Republic of),5874,Dominican Republic,3900,,,,,
1,192,Cuba,1990,Emigration,436429,male,United States of America,385969,Spain,12590,Puerto Rico,10069,Venezuela (Bolivarian Republic of),5685,Dominican Republic,2924,,,,,
2,192,Cuba,1990,Emigration,835546,total,United States of America,736971,Spain,21854,Puerto Rico,19579,Venezuela (Bolivarian Republic of),11559,Dominican Republic,6824,,,,,
3,192,Cuba,1990,Immigration,17278,female,Spain,5394,Russian Federation,1728,Haiti,1478,United States of America,577,China,507,815,259,940,1125,1738
4,192,Cuba,1990,Immigration,17277,male,Spain,5309,Russian Federation,2763,Ukraine,907,United States of America,609,Haiti,585,790,226,665,796,1096
5,192,Cuba,1990,Immigration,34555,total,Spain,10703,Russian Federation,4491,Haiti,2063,Ukraine,1367,United States of America,1186,1605,485,1605,1921,2834
6,192,Cuba,1995,Emigration,446062,female,United States of America,389993,Spain,12258,Puerto Rico,9266,Venezuela (Bolivarian Republic of),5466,Dominican Republic,4253,,,,,
7,192,Cuba,1995,Emigration,489315,male,United States of America,425624,Spain,16056,Puerto Rico,10027,Italy,5642,Venezuela (Bolivarian Republic of),5137,,,,,
8,192,Cuba,1995,Emigration,935377,total,United States of America,815617,Spain,28314,Puerto Rico,19293,Venezuela (Bolivarian Republic of),10603,Dominican Republic,7580,,,,,
9,192,Cuba,1995,Immigration,12559,female,Spain,3922,Russian Federation,1223,Haiti,1102,United States of America,418,China,380,675,331,804,1089,1526
10,192,Cuba,1995,Immigration,13628,male,Spain,4190,Russian Federation,2181,Ukraine,716,United States of America,481,Haiti,462,705,341,626,727,870
11,192,Cuba,1995,Immigration,26187,total,Spain,8112,Russian Federation,3404,Haiti,1564,Ukraine,1036,United States of America,899,1380,672,1430,1816,2396
12,192,Cuba,2000,Emigration,500437,female,United States of America,429838,Spain,20270,Puerto Rico,9042,Venezuela (Bolivarian Republic of),5191,Dominican Republic,4606,,,,,
13,192,Cuba,2000,Emigration,549465,male,United States of America,465038,Spain,25468,Italy,10341,Puerto Rico,10012,Venezuela (Bolivarian Republic of),4737,,,,,
14,192,Cuba,2000,Emigration,1049902,total,United States of America,894876,Spain,45738,Puerto Rico,19054,Italy,11659,Venezuela (Bolivarian Republic of),9928,,,,,
15,192,Cuba,2000,Immigration,7840,female,Spain,2450,Haiti,726,Russian Federation,719,United States of America,260,China,252,549,430,681,1095,1348
16,192,Cuba,2000,Immigration,9978,male,Spain,3071,Russian Federation,1598,Ukraine,525,United States of America,352,Haiti,339,642,493,619,690,663
17,192,Cuba,2000,Immigration,17818,total,Spain,5521,Russian Federation,2317,Haiti,1065,Ukraine,705,United States of America,612,1191,923,1300,1785,2011
18,192,Cuba,2005,Emigration,553567,female,United States of America,463625,Spain,32087,Puerto Rico,8077,Venezuela (Bolivarian Republic of),5346,Italy,4677,,,,,
19,192,Cuba,2005,Emigration,607085,male,United States of America,495855,Spain,39527,Italy,17884,Puerto Rico,8962,Germany,5448,,,,,
20,192,Cuba,2005,Emigration,1160652,total,United States of America,959480,Spain,71614,Italy,22561,Puerto Rico,17039,Venezuela (Bolivarian Republic of),10372,,,,,
21,192,Cuba,2005,Immigration,7540,female,Spain,2459,Russian Federation,726,Haiti,726,United States of America,260,China,251,570,401,1369,1371,1609
22,192,Cuba,2005,Immigration,9483,male,Spain,3040,Russian Federation,1582,Ukraine,519,United States of America,349,Haiti,335,675,472,1283,912,828
23,192,Cuba,2005,Immigration,17023,total,Spain,5499,Russian Federation,2308,Haiti,1061,Ukraine,702,United States of America,609,1245,873,2652,2283,2437
24,192,Cuba,2010,Emigration,616208,female,United States of America,502388,Spain,46653,Italy,8036,Canada,6664,Mexico,6050,,,,,
25,192,Cuba,2010,Emigration,694659,male,United States of America,552841,Spain,56536,Italy,25427,Puerto Rico,6843,Germany,6695,,,,,
26,192,Cuba,2010,Emigration,1310867,total,United States of America,1055229,Spain,103189,Italy,33463,Canada,13340,Puerto Rico,12882,,,,,
27,192,Cuba,2010,Immigration,6611,female,Spain,2266,Russian Federation,672,Haiti,665,United States of America,239,China,230,467,233,1133,1424,1469
28,192,Cuba,2010,Immigration,8207,male,Spain,2758,Russian Federation,1436,Ukraine,471,United States of America,317,Haiti,304,572,282,1093,994,788
29,192,Cuba,2010,Immigration,14818,total,Spain,5024,Russian Federation,2108,Haiti,969,Ukraine,641,United States of America,556,1039,515,2226,2418,2257
30,192,Cuba,2015,Emigration,705292,female,United States of America,570831,Spain,58864,Mexico,9562,Italy,7583,Canada,7453,,,,,
31,192,Cuba,2015,Emigration,806002,male,United States of America,640042,Spain,72270,Italy,25886,Mexico,8091,Canada,7465,,,,,
32,192,Cuba,2015,Emigration,1511294,total,United States of America,1210873,Spain,131134,Italy,33469,Mexico,17653,Canada,14918,,,,,
33,192,Cuba,2015,Immigration,5950,female,Spain,2040,Russian Federation,605,Haiti,598,United States of America,215,China,207,380,239,891,1506,1346
34,192,Cuba,2015,Immigration,7386,male,Spain,2482,Russian Federation,1292,Ukraine,424,United States of America,285,Haiti,274,474,295,875,1065,738
35,192,Cuba,2015,Immigration,13336,total,Spain,4522,Russian Federation,1897,Haiti,872,Ukraine,577,United States of America,500,854,534,1766,2571,2084
36,192,Cuba,2017,Emigration,727012,female,United States of America,589765,Spain,58961,Mexico,9810,Italy,7779,Canada,7748,,,,,
37,192,Cuba,2017,Emigration,831300,male,United States of America,661272,Spain,73417,Italy,26278,Mexico,8301,Germany,8243,,,,,
38,192,Cuba,2017,Emigration,1558312,total,United States of America,1251037,Spain,132378,Italy,34057,Mexico,18111,Canada,15509,,,,,
39,192,Cuba,2017,Immigration,5861,female,Spain,2010,Russian Federation,596,Haiti,589,United States of America,212,China,204,383,223,892,1498,1388
40,192,Cuba,2017,Immigration,7275,male,Spain,2444,Russian Federation,1272,Ukraine,417,United States of America,280,Haiti,269,478,276,880,1062,767
41,192,Cuba,2017,Immigration,13136,total,Spain,4454,Russian Federation,1868,Haiti,858,Ukraine,568,United States of America,492,861,499,1772,2560,2155
42,222,El Salvador,1990,Emigration,608502,female,United States of America,236909,Mexico,150796,Guatemala,104058,Honduras,55397,Costa Rica,27798,,,,,
43,222,El Salvador,1990,Emigration,633375,male,United States of America,228524,Mexico,150310,Guatemala,132597,Honduras,59413,Costa Rica,28459,,,,,
44,222,El Salvador,1990,Emigration,1241877,total,United States of America,465433,Mexico,301106,Guatemala,236655,Honduras,114810,Costa Rica,56257,,,,,
45,222,El Salvador,1990,Immigration,22218,female,Honduras,6905,United States of America,4032,Guatemala,3739,Nicaragua,1772,Mexico,1095,9715,1527,4078,3508,2267
46,222,El Salvador,1990,Immigration,25142,male,Honduras,8869,Guatemala,4496,United States of America,4001,Nicaragua,2121,Mexico,1362,9963,1241,3115,2716,1841
47,222,El Salvador,1990,Immigration,47360,total,Honduras,15774,Guatemala,8235,United States of America,8033,Nicaragua,3893,Mexico,2457,19678,2768,7193,6224,4108
48,222,El Salvador,1995,Emigration,463035,female,United States of America,332169,Guatemala,54107,Honduras,29173,Canada,15783,Costa Rica,12961,,,,,
49,222,El Salvador,1995,Emigration,470090,male,United States of America,317801,Guatemala,70239,Honduras,31519,Canada,16815,Costa Rica,13085,,,,,
50,222,El Salvador,1995,Emigration,933125,total,United States of America,649970,Guatemala,124346,Honduras,60692,Canada,32598,Costa Rica,26046,,,,,
51,222,El Salvador,1995,Immigration,18564,female,Honduras,5450,Guatemala,3298,United States of America,3160,Nicaragua,2043,Mexico,871,5455,1959,4358,3287,2420
52,222,El Salvador,1995,Immigration,20973,male,Honduras,7200,Guatemala,3926,United States of America,3146,Nicaragua,2176,Mexico,1077,5729,1656,3488,2648,2045
53,222,El Salvador,1995,Immigration,39537,total,Honduras,12650,Guatemala,7224,United States of America,6306,Nicaragua,4219,Mexico,1948,11184,3615,7846,5935,4465
54,222,El Salvador,2000,Emigration,480225,female,United States of America,429782,Canada,18730,Australia,5200,Guatemala,4156,Costa Rica,4065,,,,,
55,222,El Salvador,2000,Emigration,468866,male,United States of America,408308,Canada,20096,Guatemala,7881,Australia,5490,Costa Rica,4792,,,,,
56,222,El Salvador,2000,Emigration,949091,total,United States of America,838090,Canada,38826,Guatemala,12037,Australia,10690,Costa Rica,8857,,,,,
57,222,El Salvador,2000,Immigration,14909,female,Honduras,3994,Guatemala,2857,Nicaragua,2315,United States of America,2282,Mexico,647,3703,1746,3735,2722,2073
58,222,El Salvador,2000,Immigration,16804,male,Honduras,5531,Guatemala,3355,United States of America,2321,Nicaragua,2230,Mexico,791,3938,1494,3031,2219,1773
59,222,El Salvador,2000,Immigration,31713,total,Honduras,9525,Guatemala,6212,United States of America,4603,Nicaragua,4545,Mexico,1438,7641,3240,6766,4941,3846
60,222,El Salvador,2005,Emigration,568462,female,United States of America,514399,Canada,19738,Australia,5240,Guatemala,3877,Belize,3638,,,,,
61,222,El Salvador,2005,Emigration,550438,male,United States of America,483459,Canada,20232,Guatemala,10487,Italy,6020,Australia,5520,,,,,
62,222,El Salvador,2005,Emigration,1118900,total,United States of America,997858,Canada,39970,Guatemala,14364,Australia,10760,Italy,8882,,,,,
63,222,El Salvador,2005,Immigration,17029,female,Honduras,4283,Guatemala,3417,Nicaragua,3142,United States of America,2416,Mexico,700,3510,2228,4494,2965,2459
64,222,El Salvador,2005,Immigration,18990,male,Honduras,6079,Guatemala,3950,Nicaragua,2882,United States of America,2455,Mexico,841,3515,1877,3781,2875,2241
65,222,El Salvador,2005,Immigration,36019,total,Honduras,10362,Guatemala,7367,Nicaragua,6024,United States of America,4871,Mexico,1541,7025,4105,8275,5840,4700
66,222,El Salvador,2010,Emigration,670534,female,United States of America,606751,Canada,22058,Costa Rica,6112,Australia,5370,Italy,4256,,,,,
67,222,El Salvador,2010,Emigration,667169,male,United States of America,585672,Canada,21597,Guatemala,13092,Italy,8206,Costa Rica,7576,,,,,
68,222,El Salvador,2010,Emigration,1337703,total,United States of America,1192423,Canada,43655,Guatemala,16691,Costa Rica,13688,Italy,12462,,,,,
69,222,El Salvador,2010,Immigration,19148,female,Honduras,4571,Guatemala,3977,Nicaragua,3969,United States of America,2562,Mexico,753,2983,1662,5011,3860,3246
70,222,El Salvador,2010,Immigration,21176,male,Honduras,6627,Guatemala,4544,Nicaragua,3533,United States of America,2614,Mexico,891,3018,1410,4290,3764,2974
71,222,El Salvador,2010,Immigration,40324,total,Honduras,11198,Guatemala,8521,Nicaragua,7502,United States of America,5176,Mexico,1644,6001,3072,9301,7624,6220
72,222,El Salvador,2015,Emigration,750735,female,United States of America,679986,Canada,24668,Costa Rica,6160,Australia,5662,Mexico,4792,,,,,
73,222,El Salvador,2015,Emigration,758941,male,United States of America,667966,Canada,24152,Guatemala,14845,Italy,8354,Costa Rica,7740,,,,,
74,222,El Salvador,2015,Emigration,1509676,total,United States of America,1347952,Canada,48820,Guatemala,19198,Costa Rica,13900,Italy,12464,,,,,
75,222,El Salvador,2015,Immigration,19996,female,Honduras,4775,Guatemala,4153,Nicaragua,4144,United States of America,2676,Mexico,786,2779,1368,4872,4797,3488
76,222,El Salvador,2015,Immigration,22049,male,Honduras,6901,Guatemala,4732,Nicaragua,3679,United States of America,2721,Mexico,928,2814,1156,4168,4661,3183
77,222,El Salvador,2015,Immigration,42045,total,Honduras,11676,Guatemala,8885,Nicaragua,7823,United States of America,5397,Mexico,1714,5593,2524,9040,9458,6671
78,222,El Salvador,2017,Emigration,775734,female,United States of America,702541,Canada,25646,Costa Rica,6197,Australia,5911,Belize,5089,,,,,
79,222,El Salvador,2017,Emigration,784190,male,United States of America,690122,Canada,25110,Guatemala,15446,Italy,8480,Costa Rica,7787,,,,,
80,222,El Salvador,2017,Emigration,1559924,total,United States of America,1392663,Canada,50756,Guatemala,19976,Costa Rica,13984,Italy,12683,,,,,
81,222,El Salvador,2017,Immigration,20129,female,Honduras,4807,Guatemala,4180,Nicaragua,4171,United States of America,2694,Mexico,791,2797,1266,4673,4947,3613
82,222,El Salvador,2017,Immigration,22194,male,Honduras,6946,Guatemala,4763,Nicaragua,3703,United States of America,2738,Mexico,934,2830,1070,3995,4803,3296
